gross_value,preferred_channel,order_count
235.95,0.0,1
181.48,0.0,1
234.3,0.0,1
53.81,0.0,1
220.0,0.0,1
176.64999999999998,0.0,2
196.65,0.0,1
33.0,1.0,1
505.03999999999996,0.0,2
53.5,0.0,1
106.25,0.0,1
2305.8500000000004,0.0,9
237.08,0.0,2
65.16,0.0,1
880.0,0.0,4
896.8799999999999,0.0,29
9.26,1.0,1
205.2,0.0,1
126.0,0.0,1
93.93,0.0,1
91.8,0.0,1
134.69,0.0,1
481.24,0.0,2
275.0,0.0,3
233.2,0.0,1
49.99,0.0,1
238.15,0.0,1
131.0,0.0,1
426.12,0.0,2
54.57,1.0,1
61.54,0.0,1
318.0,0.0,1
195.04,0.0,1
34.22,0.0,1
300.0,0.0,1
138.37,0.0,1
476.3,0.0,2
306.62,0.0,2
30.0,0.0,1
51.2,0.0,1
278.72,0.0,2
26.75,0.0,1
37.45,0.0,1
129.0,0.0,1
103.08,0.0,1
17.52,0.0,1
49.16,0.0,1
93.59,0.0,1
100.0,0.0,1
31.54,0.0,1
74.88,0.0,1
23.19,0.0,1
95.27,0.0,2
116.95,0.0,1
255.73999999999998,0.0,4
65.55,0.0,1
642.0,0.0,2
468.16999999999996,0.0,2
328.91999999999996,0.0,2
33.7,0.0,1
85.42,0.0,1
107.07,0.0,1
20.0,0.0,1
201.56,0.0,1
41.67,0.0,1
272.19,0.0,1
65.0,0.0,1
38.36,0.0,1
141.38,0.0,1
76.32,0.0,1
212.0,0.0,1
88.0,0.0,1
79.54,0.0,1
300.84000000000003,0.0,2
124.55,0.0,1
220.0,0.0,1
40.61,0.0,1
94.39,0.0,1
27.16,0.0,1
101.15,0.0,1
262.0,0.0,2
216.8,0.0,1
216.5,0.0,1
117.7,0.0,1
79.0,0.0,1
222.81,0.0,1
41.84,1.0,1
309.58,0.0,1
246.4,0.0,1
220.0,0.0,1
159.0,0.0,2
1144.28,0.0,5
612.9100000000001,0.0,3
63.0,0.0,1
207.98,0.0,2
72.0,0.0,1
220.0,0.0,1
198.45,0.0,1
255.0,0.0,1
61.43,0.0,1
149.45,0.0,1
64.95,0.0,1
52.43,0.0,1
61.18,0.0,1
201.04,1.0,2
127.63,0.0,1
880.0,0.0,4
14.61,0.0,1
140.18,0.0,1
240.9,0.0,1
71.34,0.0,1
20.0,0.0,1
32.16,1.0,1
126.6,0.0,1
138.12,0.0,1
580.25,1.0,4
365.93,0.0,4
48.71,0.0,1
239.53,0.0,1
106.82,0.0,1
250.0,0.0,1
222.38,0.0,1
32.26,0.0,1
220.0,0.0,1
69.82,0.0,1
240.35,0.0,1
170.0,0.0,1
165.0,0.0,3
192.6,0.0,1
109.99000000000001,0.0,2
488.65999999999997,0.0,5
92.44,0.0,1
666.52,0.0,5
288.46,0.0,2
144.45,0.0,1
220.0,0.0,1
126.15,0.0,1
58.27,0.0,1
224.0,0.0,1
157.91,0.0,2
75.37,1.0,1
108.0,0.0,1
67.34,1.0,1
238.7,0.0,1
212.0,0.0,1
220.0,0.0,1
220.0,0.0,1
120.0,0.0,2
969.5999999999999,0.0,3
250.0,0.0,1
61.09,0.0,1
217.25,0.0,1
34.98,0.0,1
1653.63,0.0,5
65.0,0.0,1
238.15,0.0,1
493.43,0.0,2
292.96,0.0,3
35.52,0.0,1
30.49,0.0,1
1547.6,0.0,8
62.42,0.0,1
246.4,0.0,1
112.0,0.0,1
139.75,0.0,1
357.9,0.0,2
73.61,0.0,1
53.88,1.0,1
246.51,0.0,2
218.5,0.0,1
171.98000000000002,0.0,2
500.0,0.0,2
1428.55,0.0,6
482.52,0.0,2
-0.5200000000000102,1.0,3
22.95,0.0,1
235.95,0.0,1
321.0,0.0,1
364.53,0.0,3
42.4,0.0,1
217.75,0.0,1
1102.3999999999999,0.0,6
65.7,0.0,1
235.4,0.0,1
72.89,0.0,1
220.0,0.0,1
5641.490000000002,0.0,24
174.29,0.0,2
382.31,1.0,1
200.0,0.0,1
238.98,0.0,1
556.4,0.0,2
1259.51,0.0,5
240.79,0.0,1
326.63,0.0,1
754.91,0.0,5
121.8,0.0,1
131.82,0.0,1
206.76999999999998,0.0,2
140.73,0.0,1
270.0,0.0,1
265.0,0.0,1
106.0,0.0,1
477.4,0.0,2
94.38,0.0,1
96.84,0.0,2
370.0,0.0,2
655.0,0.0,3
184.97,1.0,1
196.2,0.0,1
222.81,0.0,1
242.55,0.0,1
237.05,0.0,1
200.0,0.0,1
64.8,0.0,1
219.0,0.0,1
220.2,0.0,1
300.0,0.0,1
569.4,0.0,2
107.67,0.0,1
127.89,0.0,1
49.03,1.0,1
128.0,0.0,1
72.7,0.0,1
179.75,0.0,2
90.74,0.0,1
107.61,0.0,1
70.28999999999999,1.0,2
237.6,0.0,1
119.32,0.0,2
139.07,0.0,1
237.05,0.0,1
113.37,0.0,2
77.49,0.0,1
183.38,0.0,2
75.08,0.0,1
184.88,0.0,2
267.5,0.0,1
48.53,0.0,1
1059.41,0.0,5
44.03999999999999,1.0,3
606.2,0.0,2
235.44,0.0,1
119.49,1.0,1
108.69,0.0,2
466.1,0.0,6
239.25,0.0,1
67.82,0.0,2
20.77,1.0,1
118.07,0.0,1
67.66,1.0,2
227.97,0.0,2
98.53999999999999,0.0,2
267.65999999999997,0.0,2
471.9,0.0,2
491.13,0.0,3
88.32,0.0,1
217.1,1.0,1
100.58,0.0,1
466.4,0.0,2
265.0,0.0,1
101.64,0.0,1
15.34,0.0,1
355.56000000000006,0.0,3
233.2,0.0,1
41.73,1.0,1
388.73,0.0,2
233.2,0.0,1
31.18,1.0,1
60.0,0.0,1
238.92,0.0,1
24.9,0.0,1
470.25,0.0,2
98.0,0.0,1
142.23,0.0,1
45.2,0.0,1
67.76,0.0,1
61.5,0.0,1
251.36,0.0,3
279.31,0.0,1
526.9200000000001,0.0,3
961.4,0.0,4
800.0,0.0,3
17.12,0.0,1
112.14,0.0,1
171.81,1.0,1
30.15,0.0,1
197.1,0.0,1
479.06,0.0,2
43.1,0.0,1
233.2,0.0,1
60.09,0.0,1
34.98,0.0,1
389.7,0.0,1
360.0,0.0,1
140.6,0.0,1
187.89000000000001,0.0,2
52.43,0.0,1
233.2,0.0,1
146.3,0.0,1
142.36,0.0,1
120.68,0.0,1
84.84,0.0,1
32.43,1.0,1
96.0,0.0,1
26.69,0.0,1
200.0,0.0,1
341.32,0.0,3
103.09,0.0,1
89.85,0.0,1
132.3,0.0,1
200.0,0.0,1
117.69,0.0,1
147.73,0.0,1
238.15,0.0,1
415.42999999999995,1.0,3
131.34,0.0,1
42.44,0.0,1
65.68,1.0,1
214.2,0.0,1
